глаз;73;0,0311469
три;73;0,0311469
люблю;73;0,0311469
Дмитриевна;73;0,0311469
une;72;0,0307203
генерал;72;0,0307203
взял;72;0,0307203
думала;72;0,0307203
Багратион;72;0,0307203
выражение;72;0,0307203
Наташи;72;0,0307203
руками;71;0,0302936
Болконский;71;0,0302936
Ростову;71;0,0302936
nous;71;0,0302936
сейчас;71;0,0302936
хотя;71;0,0302936
Наташе;70;0,0298669
ко;70;0,0298669
княжны;70;0,0298669
ехать;70;0,0298669
лучше;70;0,0298669
милый;70;0,0298669
ce;70;0,0298669
поехал;70;0,0298669
нам;70;0,0298669
знает;70;0,0298669
быстро;69;0,0294403
отец;69;0,0294403
сын;69;0,0294403
pour;69;0,0294403
молодой;69;0,0294403
двух;68;0,0290136
Наташу;68;0,0290136
стали;68;0,0290136
Бориса;68;0,0290136
других;67;0,0285869
голоса;67;0,0285869
ясно;67;0,0285869
другие;67;0,0285869
доме;67;0,0285869
никто;67;0,0285869
армии;67;0,0285869
подле;67;0,0285869
нынче;67;0,0285869
куда;66;0,0281602
Мне;66;0,0281602
гостиной;66;0,0281602
Только;66;0,0281602
улыбнулся;66;0,0281602
знать;65;0,0277336
обращаясь;65;0,0277336
Долохова;65;0,0277336
qui;65;0,0277336
мимо;65;0,0277336
увидал;65;0,0277336
войска;65;0,0277336
слово;64;0,0273069
минуты;64;0,0273069
en;64;0,0273069
говорит;63;0,0268802
У;63;0,0268802
Андреич;63;0,0268802
лошади;63;0,0268802
слишком;63;0,0268802
des;62;0,0264536
молча;62;0,0264536
стояли;62;0,0264536
весь;62;0,0264536
думаю;62;0,0264536
крикнул;62;0,0264536
Его;61;0,0260269
Берг;61;0,0260269
головой;61;0,0260269
буду;61;0,0260269
видно;61;0,0260269
место;61;0,0260269
должно;61;0,0260269
стороны;60;0,0256002
прибавил;60;0,0256002
впереди;60;0,0256002
любви;60;0,0256002
ну;60;0,0256002
пор;59;0,0251735
Теперь;59;0,0251735
стала;59;0,0251735
мать;59;0,0251735
дня;59;0,0251735
Марьи;58;0,0247469
матери;58;0,0247469
французов;58;0,0247469
ноги;58;0,0247469
выражением;58;0,0247469
Ведь;57;0,0243202
После;57;0,0243202
вся;57;0,0243202
Анатоля;57;0,0243202
около;57;0,0243202
видом;57;0,0243202
тяжело;57;0,0243202
часто;57;0,0243202
кажется;56;0,0238935
Ему;56;0,0238935
каждый;56;0,0238935
года;56;0,0238935
Кутузова;56;0,0238935
та;56;0,0238935
указывая;56;0,0238935
этому;56;0,0238935
начал;56;0,0238935
точно;55;0,0234669
всей;55;0,0234669
Бонапарте;55;0,0234669
императора;55;0,0234669
рукой;55;0,0234669
если;55;0,0234669
стало;55;0,0234669
кричал;55;0,0234669
n;55;0,0234669
сама;55;0,0234669
Несвицкий;54;0,0230402
дать;54;0,0230402
знала;54;0,0230402
вами;54;0,0230402
гостей;54;0,0230402
говорю;54;0,0230402
невольно;54;0,0230402
ma;54;0,0230402
Еще;54;0,0230402
du;53;0,0226135
понял;53;0,0226135
сидела;53;0,0226135
свете;53;0,0226135
тихо;53;0,0226135
Жюли;53;0,0226135
душе;53;0,0226135
посмотрел;53;0,0226135
старик;53;0,0226135
таки;53;0,0226135
сторон;52;0,0221869
Николая;52;0,0221869
желая;52;0,0221869
две;52;0,0221869
такие;52;0,0221869
По;52;0,0221869
О;52;0,0221869
знаешь;52;0,0221869
правда;52;0,0221869
понять;51;0,0217602
радостно;51;0,0217602
Петербурге;51;0,0217602
наконец;51;0,0217602
солдаты;51;0,0217602
Наполеон;51;0,0217602
дальше;51;0,0217602
командир;51;0,0217602
могли;51;0,0217602
го;51;0,0217602
Je;51;0,0217602
взгляд;51;0,0217602
оглянулся;51;0,0217602
гостиную;51;0,0217602
вышла;51;0,0217602
которому;50;0,0213335
смотрела;50;0,0213335
лошадей;50;0,0213335
За;50;0,0213335
вечер;50;0,0213335
отвечала;50;0,0213335
вечера;50;0,0213335
видела;50;0,0213335
понимаю;50;0,0213335
завтра;49;0,0209068
хотелось;49;0,0209068
рад;49;0,0209068
сиятельство;49;0,0209068
ведь;49;0,0209068
вопрос;49;0,0209068
платье;49;0,0209068
встал;49;0,0209068
Из;49;0,0209068
поспешно;49;0,0209068
вид;49;0,0209068
лет;49;0,0209068
ними;49;0,0209068
государю;48;0,0204802
полк;48;0,0204802
взглянул;48;0,0204802
нею;48;0,0204802
собою;48;0,0204802
смотрели;48;0,0204802
сел;48;0,0204802
зная;48;0,0204802
брат;48;0,0204802
взглядом;48;0,0204802
мысли;48;0,0204802
женщины;47;0,0200535
qu;47;0,0200535
me;47;0,0200535
наш;47;0,0200535
Боже;47;0,0200535
самого;47;0,0200535
спросила;47;0,0200535
слышал;47;0,0200535
заметил;46;0,0196268
зачем;46;0,0196268
Лицо;46;0,0196268
сражения;46;0,0196268
вокруг;46;0,0196268
середине;46;0,0196268
дочери;46;0,0196268
бывает;46;0,0196268
положение;46;0,0196268
любовь;46;0,0196268
plus;46;0,0196268
увидав;46;0,0196268
шопотом;46;0,0196268
скоро;46;0,0196268
сердито;46;0,0196268
деле;45;0,0192002
письма;45;0,0192002
мост;45;0,0192002
Мы;45;0,0192002
думать;45;0,0192002
сюда;45;0,0192002
имел;45;0,0192002
графини;45;0,0192002
Москву;45;0,0192002
чуть;45;0,0192002
звуки;45;0,0192002
ожидая;45;0,0192002
молодого;45;0,0192002
обеда;45;0,0192002
Илья;45;0,0192002
глазах;45;0,0192002
старого;45;0,0192002
другое;44;0,0187735
шел;44;0,0187735
слезы;44;0,0187735
Потом;44;0,0187735
c;44;0,0187735
узнал;44;0,0187735
брата;44;0,0187735
То;44;0,0187735
мной;44;0,0187735
любил;43;0,0183468
места;43;0,0183468
Марье;43;0,0183468
штаб;43;0,0183468
спокойно;43;0,0183468
спрашивал;43;0,0183468
стола;43;0,0183468
говорят;43;0,0183468
cher;43;0,0183468
chere;43;0,0183468
послышался;43;0,0183468
деньги;43;0,0183468
пока;43;0,0183468
иногда;43;0,0183468
месте;43;0,0183468
сидели;43;0,0183468
тысяч;43;0,0183468
скажу;43;0,0183468
стараясь;43;0,0183468
какое;42;0,0179202
другого;42;0,0179202
т;42;0,0179202
Кто;42;0,0179202
верно;42;0,0179202
